Epoch,Seconds,Est Avg Trn Loss,Val Loss,Val Acc
1,323,2.467306113243103,2.4259910793714625,0.16372436750893582
2,321,2.446126937866211,2.4196963094895887,0.1640145330032339
3,321,2.443692946434021,2.4122212481755083,0.16542116482373434
4,321,2.425684380531311,2.401177977490169,0.17256060394409356
5,322,2.4213819980621336,2.3972094325609103,0.17328641228386552
6,322,2.414566898345947,2.400356836216424,0.17241433738486442
7,322,2.419889950752258,2.395377710301389,0.17288260082987858
8,321,2.397393894195557,2.3844423096667056,0.17944775955671763
9,321,2.405855083465576,2.3790629027992165,0.17801613614785972
10,321,2.4075549602508546,2.3817902670111706,0.1787640423131267
11,320,2.398935890197754,2.384849703440102,0.17750446625990884
12,319,2.3987827062606812,2.3842609549081453,0.17636090379053998
13,319,2.4014399766922,2.3796313844701293,0.18036534545346447
14,320,2.3953301906585693,2.37640343763495,0.1789431925412473
15,321,2.401128315925598,2.3798256858702627,0.17994995894802776
16,322,2.3994203567504884,2.3835931506208192,0.17548540898997417
17,320,2.4076758146286013,2.3706766210576538,0.18224444982859717
18,321,2.401986837387085,2.3710568251148345,0.18202241929624213
19,321,2.405260968208313,2.3759478633121778,0.17994811746256983
20,320,2.395114278793335,2.3842258225205124,0.1738349118809748
21,319,2.4014859437942504,2.3710329660805325,0.1815486313948542
22,321,2.3927951574325563,2.372886188055879,0.18169226726057203
23,321,2.3997853279113768,2.3691324587791196,0.18325463613694232
24,321,2.3903795957565306,2.377795824696941,0.18134448957837612
25,322,2.405597615242004,2.374534858939468,0.1823273166742036
26,322,2.399790573120117,2.3756409557916784,0.18005018837080888
27,321,2.393464756011963,2.3737971623738607,0.1796050750286943
28,321,2.3946976184844972,2.3837079107120474,0.180798357605427
29,322,2.3843435525894163,2.3767457036561863,0.18309810987301905
