Epoch,Seconds,Est Avg Trn Loss,Val Loss,Val Acc
1,323,1.2419233918190002,1.2248473721761879,0.4800568440253925
2,322,1.2080374598503112,1.2163170400297167,0.48780002730659866
3,320,1.1872050642967225,1.2033365658204702,0.49374039632450023
4,322,1.1812955260276794,1.1998321394104234,0.4964686885650856
5,323,1.1600471615791321,1.1974604073330455,0.49762145846174405
6,321,1.1601828932762146,1.1986871235337273,0.4995794836422162
7,321,1.150363838672638,1.194007607206975,0.5004668165635829
8,322,1.139748215675354,1.1825144542431292,0.5079674499030458
9,322,1.1501133680343627,1.182089451760599,0.5078109236391225
10,323,1.1327514171600341,1.1810801904347792,0.508311807683677
11,322,1.123987650871277,1.1779587139226135,0.5096432016697537
12,322,1.1199543356895447,1.177327237742581,0.5112045182687196
13,322,1.1070250272750854,1.179653001229396,0.5099365239962654
14,322,1.1136155009269715,1.1763717911343528,0.5114020833514193
15,322,1.1052884221076966,1.1764563216844852,0.5115002082193915
16,322,1.093035876750946,1.1758111622284766,0.5131243983932776
17,322,1.098545753955841,1.174860668259365,0.5131080880935075
18,323,1.0892145156860351,1.17640682872068,0.5126516627692942
19,325,1.091292917728424,1.1729083319141482,0.5148377690771975
20,323,1.0792879939079285,1.1705742922357902,0.5169575819086155
21,323,1.0894430041313172,1.1741679700249876,0.5143616135516493
22,324,1.0778253316879272,1.1730252502423955,0.5153397053991564
23,323,1.0749407649040221,1.1738051619416803,0.5134053564602862
24,323,1.0817606449127197,1.1715569139425157,0.5159131965846232
