Epoch,Seconds,Est Avg Trn Loss,Val Loss,Val Acc
1,324,2.1930908441543577,2.1640926240592875,0.183437995474681
2,323,2.177518200874329,2.1649452147945283,0.1824546422401513
3,323,2.15887565612793,2.141949143204638,0.1926172743437143
4,321,2.1542258262634277,2.1229410799600745,0.20246054025500365
5,320,2.1158472299575806,2.119593206528694,0.20860531415873446
6,321,2.1062915563583373,2.105162601829857,0.21440651948988748
7,322,2.101996421813965,2.101795385729882,0.2180134633632522
8,323,2.0759043216705324,2.088705318204818,0.223544233401442
9,322,2.0653764247894286,2.0824023969711796,0.22504767474315882
10,321,2.067344307899475,2.074168182444829,0.22821634507753838
11,323,2.04873411655426,2.071505463507868,0.2294180458735073
12,321,2.041530728340149,2.0834805455259096,0.22858016999015332
13,321,2.0454561710357666,2.066883164067422,0.23347220764379567
14,320,2.038437747955322,2.06792810322136,0.2339317898002225
15,322,2.019860625267029,2.0639746927445937,0.23531395617106768
16,322,2.025303912162781,2.061666124866855,0.2341709198404011
17,322,2.0252024292945863,2.0576239134675713,0.23695156288186162
18,322,2.0076822638511658,2.059976593653361,0.23520031021137885
19,323,2.0161634564399717,2.054800622950318,0.23787809313654693
20,320,2.0034714341163635,2.060047541382492,0.2373424839376431
21,321,2.0151753067970275,2.0544180800837855,0.23827874775832028
22,320,2.0033766508102415,2.0581222113742625,0.23741877404947123
23,322,2.005854344367981,2.0606165609052103,0.23770709805831142
24,321,2.007886016368866,2.050976954480653,0.2390408596685484
25,322,1.990695333480835,2.051762254007401,0.2387530617984105
26,321,2.0017704606056212,2.050438074142702,0.23804251148100417
27,321,2.002232038974762,2.055392486049283,0.23778812341845995
28,321,1.9806875705718994,2.055256796652271,0.23787625165108903
29,321,1.9912886261940002,2.0589741147974485,0.2383629299506824
30,321,1.9885506510734559,2.0510626967235277,0.2382011422997365
