Epoch,Seconds,Est Avg Trn Loss,Val Loss,Val Acc
1,323,2.447504496574402,2.410586942139492,0.1645411978441993
2,322,2.4343491792678833,2.3880062472435735,0.17701594647485755
3,320,2.4199599027633667,2.3850871534757716,0.17538439035913964
4,321,2.3875307559967043,2.347232645814137,0.19551208948356594
5,321,2.354370450973511,2.324778289692376,0.20167711972733388
6,323,2.3488861560821532,2.3211536968908004,0.20614219582408974
7,319,2.333308553695679,2.310387573447279,0.20925036020770904
8,320,2.3074925422668455,2.301087967554728,0.2116445543723573
9,323,2.3051609992980957,2.286022517758031,0.21564952217398406
10,322,2.2878780364990234,2.282507372415194,0.2179242828532186
11,321,2.2936164140701294,2.2867119317413658,0.21795769266081233
12,322,2.2845026731491087,2.2841021327562228,0.21984810901804366
13,322,2.2674248695373533,2.2727305353328746,0.22122133103095037
14,322,2.265068197250366,2.2712248012583744,0.22061916528621026
15,322,2.271244239807129,2.2721264741754017,0.22188137203293945
16,321,2.2653037548065185,2.269746502240499,0.22402170427374576
17,321,2.2590925455093385,2.270169602414613,0.22428109065396146
18,321,2.2531386375427247,2.2728321493312875,0.22386359959371568
19,321,2.2595197439193724,2.266980529856938,0.22503873038522035
20,320,2.242690682411194,2.273280320116269,0.22517447417040423
21,321,2.257326054573059,2.265711570811528,0.22640695408045555
22,322,2.2499966382980348,2.2699063021649595,0.22629251891271332
23,320,2.2368232011795044,2.260234349517412,0.22700806754779115
24,321,2.2342392921447756,2.2679426770056446,0.2257303397093452
25,321,2.249950885772705,2.264970709944284,0.2267891938476497
26,322,2.2225083351135253,2.2596656827516455,0.2272827119503725
27,321,2.225611424446106,2.268980743551767,0.22557907483244455
28,321,2.237290859222412,2.255466966218846,0.2265524314316313
29,321,2.2257941484451296,2.263538843329235,0.22695071842924447
30,322,2.2229380369186402,2.2635844433179466,0.2271343408363343
