Epoch,Seconds,Est Avg Trn Loss,Val Loss,Val Acc
1,323,2.12366943359375,2.085608671632855,0.22723141342690184
2,323,2.071534276008606,2.0606571932526783,0.23726356313230362
3,321,2.058083415031433,2.0548981868284,0.24209588404323912
4,322,2.0454696655273437,2.047229093293969,0.24641311516465905
5,321,2.0316457509994508,2.033874774774771,0.25166397941324486
6,321,2.0210325717926025,2.031678818398836,0.2531326956006123
7,323,2.010560727119446,2.0281846556648113,0.254233903904449
8,320,1.9964887142181396,2.0190771018727345,0.2589578402427183
9,323,1.9896941781044006,2.015679355073155,0.2602047889670819
10,323,1.9847991108894347,2.027015919834215,0.25856534077083004
11,325,1.9776446342468261,2.0176344255328305,0.26197366728409044
12,325,1.9730412483215332,2.0147330545378193,0.261640884554909
13,324,1.972125279903412,2.0121452438818497,0.26221963712739843
14,323,1.962491512298584,2.0116907356886355,0.2625850404561202
15,322,1.971152675151825,2.0106544530558508,0.2637367580753741
16,322,1.9735740542411804,2.0116363396813974,0.2634750040709982
17,322,1.962860143184662,2.0066782604377673,0.2648140270682578
18,320,1.9613351941108703,2.008377582957593,0.26355366180698653
19,321,1.9586222410202025,2.010807764927974,0.26320220115387477
20,321,1.9537852883338929,2.0101552651182573,0.26355313566828426
21,323,1.957336390018463,2.0106593296012014,0.2639969336636432
22,324,1.962709641456604,2.008925883710962,0.26473168636135364
23,325,1.9379635334014893,2.0085258795704344,0.26533490438349827
